"domain", "project", "total.files.changed", "total.lines.added", "total.lines.deleted", "total.lines", "lines.deleted.added.ratio"
"pacman", "aman-txt/PacMan-using-c", "6", "1015", "0", "1015", "0.0000000000"
"pacman", "iasebsil83/Pacman", "30", "2342", "2314", "28", "0.9880444065"
"pacman", "MatheusBueno/PacMan", "26", "1911", "0", "1911", "0.0000000000"
"pacman", "MurphyMc/xchomp", "142", "4860", "352", "4508", "0.0724279835"
"pacman", "shamiul94/Pacman-Game-using-iGraphics", "51", "11367", "2", "11365", "0.0001759479"
"pacman", "sobotat/Pacman", "770", "23071", "4797", "18274", "0.2079233670"
"pacman", "yuredev/ringo-game", "199", "6578", "1860", "4718", "0.2827607175"
"space-invaders", "awave1/space-invaders", "1817", "53306", "35653", "17653", "0.6688365287"
"space-invaders", "GoranTopic/Terminal-Space-Adventure", "1189", "4875307", "4873215", "2092", "0.9995708988"
"space-invaders", "hippopotamus-prime/interlopers", "689", "12567", "457", "12110", "0.0363650832"
"space-invaders", "rnsavinelli/swbss", "102", "5322", "1173", "4149", "0.2204058625"
