"domain", "project", "total.files.changed", "total.lines.added", "total.lines.deleted", "total.lines", "lines.deleted.added.ratio"
"spaceinvaders", "HussainAther/dnapacman", "257", "14780", "3092", "11688", "0.2092016238"
"spaceinvaders", "RMDarth/Chewman-Vulkan", "3406", "63363", "19136", "44227", "0.3020059025"
"spaceinvaders", "Raj2503/Pacman-Flutter", "93", "2741", "26", "2715", "0.0094855892"
"spaceinvaders", "SlithyMatt/x16-chasevault", "730", "23966", "9120", "14846", "0.3805390971"
"spaceinvaders", "ZacharyPatten/dotnet-console-games", "3290", "1237266", "35167", "1202099", "0.0284231523"
"spaceinvaders", "adrianeyre/pacman", "338", "3197", "471", "2726", "0.1473256178"
"spaceinvaders", "armin-reichert/pacman", "15623", "135116", "110226", "24890", "0.8157879156"
"spaceinvaders", "janbodnar/Java-Pacman-Game", "39", "694", "4", "690", "0.0057636888"
"spaceinvaders", "skatiyar/pacman", "263", "16738", "1480", "15258", "0.0884215557"
"spaceinvaders", "vmikhav/AntiPacMan", "57", "1931", "138", "1793", "0.0714655619"
